"Rank","Release_Group","Worldwide_Gross","Domestic_Gross","Domestic_Percent","Foreign_Gross","Foreign_Percent","Year","Genres","Rating","Vote_Count","Original_Language","Production_Countries","Release Date","Description","No_of_Persons_Voted","Directed by","Written by","Duration","hours","minutes","Duration_min","Year_Group","Genre_Simplified","avg_rating","avg_gross","Quadrant"
9,"X-Men",296339528,157299718,53.1,139039810,46.9,2000,"Adventure, Action, Science Fiction",7.005,11355,"en","United States of America","Jul 14, 2000","Dr. Charles Xavier gathers children from all over the planet who were born with an added twist to their genetic code.  Known as the ""X-factor"" these children can perform extraordinary feats.  Dr. Xavier calls them his X-Men.",816,"Bryan Singer","Tom DeSanto, Bryan Singer, David Hayter","1 h 44 m",1,44,104,"2000-2008","Action",6.54830329153605,156739315.50209,"High Rating & High Gross"
10,"What Lies Beneath",291420351,155464351,53.3,135956000,46.7,2000,"Drama, Horror, Mystery, Thriller",6.416,1818,"en","United States of America","Jul 21, 2000","A professor (Ford) investigates the murder of a beautiful college student who has been appearing to his wife (Pfeiffer).",79,"Robert Zemeckis","Clark Gregg, Sarah Kernochan","2 h 10 m",2,10,130,"2000-2008","Thriller",6.54830329153605,156739315.50209,"Low Rating & High Gross"
11,"Scary Movie",278019771,157019771,56.5,1.21e+08,43.5,2000,"Comedy",6.364,6984,"en","United States of America","Jul 7, 2000","A comic spoof in the tradition of ""Airplane,"" which pokes fun at teen slasher films such as the ""Scream"" series, ""I Know What You Did Last Summer"" and ""The Blair Witch Project.""",550,"Keenen Ivory Wayans","Shawn Wayans, Marlon Wayans, Buddy Johnson, Phil Beauman","1 h 28 m",1,28,88,"2000-2008","Comedy",6.54830329153605,156739315.50209,"Low Rating & High Gross"
12,"Charlie's Angels",264105545,125305545,47.4,138800000,52.6,2000,"Action, Adventure, Comedy, Crime, Thriller",5.836,4148,"en","United States of America","Nov 3, 2000","A trio of elite private investigators (Diaz, Barrymore, Liu) armed with the latest in high-tech tools track down a kidnapped computer ace and keep his top-secret voice-identification software out of lethal hands.  [Columbia Pictures]",434,"McG","Ryan Rowe, Ed Solomon, John August, Ivan Goff, Ben Roberts","1 h 38 m",1,38,98,"2000-2008","Action",6.54830329153605,156739315.50209,"Low Rating & High Gross"
12,"Charlie's Angels",264105545,125305545,47.4,138800000,52.6,2000,"Action, Adventure, Comedy, Crime, Thriller",5.836,4148,"en","United States of America","Nov 3, 2000","A trio of elite private investigators (Diaz, Barrymore, Liu) armed with the latest in high-tech tools track down a kidnapped computer ace and keep his top-secret voice-identification software out of lethal hands.  [Columbia Pictures]",434,"McG","Ryan Rowe, Ed Solomon, John August, Ivan Goff, Ben Roberts","1 h 38 m",1,38,98,"2000-2008","Action",6.54830329153605,156739315.50209,"Low Rating & High Gross"
12,"Charlie's Angels",264105545,125305545,47.4,138800000,52.6,2000,"Action, Adventure, Comedy, Crime, Thriller",5.836,4148,"en","United States of America","Nov 15, 2019","Kristen Stewart, Naomi Scott, and Ella Balinska are working for the mysterious Charles Townsend, whose security and investigative agency has expanded internationally. With the world’s smartest, bravest, and most highly trained women all over the globe, there are now teams of Angels guided by multiple Bosleys taking on the toughest jobs everywhere.",434,"McG","Ryan Rowe, Ed Solomon, John August, Ivan Goff, Ben Roberts","1 h 38 m",1,38,98,"2000-2008","Action",6.54830329153605,156739315.50209,"Low Rating & High Gross"
12,"Charlie's Angels",264105545,125305545,47.4,138800000,52.6,2000,"Action, Adventure, Comedy, Crime, Thriller",5.836,4148,"en","United States of America","Nov 15, 2019","Kristen Stewart, Naomi Scott, and Ella Balinska are working for the mysterious Charles Townsend, whose security and investigative agency has expanded internationally. With the world’s smartest, bravest, and most highly trained women all over the globe, there are now teams of Angels guided by multiple Bosleys taking on the toughest jobs everywhere.",434,"McG","Ryan Rowe, Ed Solomon, John August, Ivan Goff, Ben Roberts","1 h 38 m",1,38,98,"2000-2008","Action",6.54830329153605,156739315.50209,"Low Rating & High Gross"
13,"Erin Brockovich",256271286,125595205,49,130676081,51,2000,"Drama",7.4,3198,"en","United States of America","Mar 17, 2000","An unconventional drama based on true events, starring Julia Roberts as the twice-divorced mother of three young children who sees an injustice, takes on the bad guy and wins.  (Universal Pictures)",181,"Steven Soderbergh","Susannah Grant","2 h 10 m",2,10,130,"2000-2008","Drama",6.54830329153605,156739315.50209,"High Rating & High Gross"
14,"Unbreakable",248118121,95011339,38.3,153106782,61.7,2000,"Thriller, Drama, Mystery",7.143,9281,"en","United States of America","Nov 22, 2000","David Dunn (Bruce Willlis) is the sole survivor of a devastating train wreck.  Elijah Price (Samuel L. Jackson), a mysterious stranger, offers a bizarre explanation as to why David escaped without a single scratch, an explanation that threatens to change David's family and life forever.  [Touchstone Pictures]",662,"M. Night Shyamalan","M. Night Shyamalan","1 h 46 m",1,46,106,"2000-2008","Thriller",6.54830329153605,156739315.50209,"High Rating & High Gross"
16,"Chicken Run",224834564,106834564,47.5,1.18e+08,52.5,2000,"Animation, Comedy, Family",6.822,5040,"en","France, United Kingdom, United States of America","Jun 21, 2000","A claymation spoof of classic prison-camp flicks like ""The Great Escape.""  One of the birds hatches a plot to fly the coop at Tweedy's Chicken Farm.",370,"Peter Lord, 
    
      Nick Park","Peter Lord, Nick Park, Karey Kirkpatrick, Mark Burton","1 h 24 m",1,24,84,"2000-2008","Animation",6.54830329153605,156739315.50209,"High Rating & High Gross"
